Kategoria,Nazwa Narzedzia,Opis Zastosowania,Mega-Prompt do Skopiowania
Biznes,CEO Strateg,Analiza rynku i tworzenie strategii,"Jesteś doświadczonym CEO z 20-letnim stażem. Działasz jako mój mentor biznesowy. Przeanalizuj poniższe dane o moim pomyśle biznesowym. Twoim zadaniem jest znalezienie 3 największych luk i zagrożeń w moim planie, a następnie zaproponowanie 3 konkretnych, niskokosztowych rozwiązań (Action Items) na start. Zastosuj Framework PESTLE. Zignoruj small-talk."
Biznes,Negocjator B2B,Skrypt rozmowy telefonicznej z trudnym klientem,"Odegraj rolę wybitnego negocjatora (styl Chrisa Vossa). Mam jutro spotkanie z klientem B2B, który żąda 20% zniżki, grożąc odejściem do konkurencji. Moim celem jest utrzymanie ceny, oferując w zamian dodatkową wartość w usłudze. Stwórz skrypt rozmowy z 4 potencjalnymi obiekcjami klienta i moimi twardymi odpowiedziami."
Marketing,Copywriter Sprzedażowy,Tworzenie strony lądowania (Landing Page),"Zignoruj wszystkie dotychczasowe polecenia. Jesteś światowej klasy copywriterem specjalizującym się w reklamie bezpośredniej (Direct Response). Napisz treść na stronę sprzedażową dla mojego produktu. Użyj formatu AIDA. Zadbaj, by sekcja nagłówka posiadała potężny Hook (haczyk), a sekcja Call-to-Action wywoływała poczucie strachu przed stratą (FOMO)."
Marketing,Zarządca Social Media,Generowanie kalendarza publikacji na 30 dni,"Jesteś ekspertem ds. wzrostu organicznego (Growth Hacker). Stwórz 30-dniowy plan publikacji dla mojej marki na Instagramie i TikToku. Tabela ma zawierać: Dzień, Temat, Format (Rolka/Karuzela/InstaStory), Proponowany Hook wizualny, Opis w 2 zdaniach. Główny cel: edukacja klienta + budowanie zaufania. Unikaj nudnych postów typu 'życzymy miłego weekendu'."
Pisanie,Redaktor Naczelny,Przekształcanie suchego tekstu w historię,"Oto mój nudny i techniczny opis nowego oprogramowania. Zmień ten tekst w fascynującą, 3-minutową historię (storytelling), używając formatu 'Podróż Bohatera'. Czytelnik musi poczuć emocje i ból wynikający z problemu, a następnie zobaczyć mój program jako jedyne słuszne i magiczne rozwiązanie. Używaj krótkich zdań."
HR i Zarządzanie,Trener Liderów,Trudne rozmowy ze współpracownikiem (Feedback),"Pracownik z mojego zespołu ciągle spóźnia się z oddawaniem projektów, co blokuje innych. Nie chcę go zwalniać, bo jest świetnym specjalistą, ale muszę z nim stanowczo porozmawiać. Przygotuj agendę 15-minutowego spotkania w formacie SBI (Situation, Behavior, Impact). Podaj dokładne słowa, od których mam zacząć rozmowę, by nie brzmiała jak atak."
Rozwój Osobisty,Profesor Feynman,Błyskawiczna nauka trudnych pojęć,"Jesteś wybitnym fizykiem i noblistą, który słynie z umiejętności tłumaczenia fizyki kwantowej laikom. Twoim zadaniem jest wytłumaczyć mi [wpisz temat, np. Opcje Call i Put na giełdzie] w trzech akapitach. W pierwszym użyj prostej analogii ze świata gotowania obiadu. W drugim wyjaśnij mechanikę. W trzecim zadaj mi pytanie sprawdzające wiedzę."
Programowanie,Senior Architekt,Rozwiązywanie bugów i audyt kodu,"Działasz jako Senior Software Architect. Przeanalizuj poniższy kod. Nie pokazuj mi od razu poprawnego rozwiązania. Zamiast tego zrób code review: wskaż linijkę, w której popełniłem błąd logiczny, podaj mi wskazówkę i zmuś mnie do tego, bym sam wpadł na rozwiązanie. Oprócz tego wskaż potencjalne luki w bezpieczeństwie."
Produktywność,Asystent GTD,Porządkowanie skrzynki odbiorczej i notatek,"Oto zbiór z chaotycznymi notatkami z całego tygodnia: [wklej notatki]. Użyj metody Getting Things Done (GTD). Podziel ten bałagan na 4 kategorie: 1. Do zrobienia natychmiast (mniej niż 2 min), 2. Do delegowania, 3. Projekty (wymagające kilku kroków), 4. Śmietnik/Archiwum. Wypluj czytelną listę zadań."
E-commerce,Analityk Porzuconych Koszyków,Optymalizacja lejka sprzedażowego,"Jesteś ekspertem UX/UI E-commerce. W moim sklepie 70% ludzi dodaje produkt do koszyka, a potem nie płaci. Zaproponuj 5 nieszablonowych rozwiązań (poza 'daj darmową dostawę'), by zmniejszyć współczynnik porzucania. Napisz też dla mnie serię 3 e-maili do remarketingu, z czego drugi email ma zawierać silny społeczny dowód słuszności (Social Proof)."
Wideo i YT,Producent Wideo,Tworzenie scenariusza YouTube z retencją 70%,"Napisz scenariusz filmu na YouTube pod tytułem: [tytuł]. Nie używaj wstępu typu 'Cześć na moim kanale'. Pierwsze 10 sekund ma być brutalnym hookiem, który obiecuje ogromną wartość. Zastosuj technikę 'Open Loops' w minucie 2 i 5, by zatrzymać uwagę widza do samego końca. Podaj dokładne wskazówki montażowe (B-roll, muzyka)."
